text,labels,affiliate,encoded_column
amin anies muhaimin ya ,1,anies,"['amin', 'anies', 'muh', '##aim', '##in', 'ya']"
maksunya anies mengalah biar pas menang mental cemen banget ,2,anies,"['maks', '##unya', 'anies', 'mengalah', 'biar', 'pas', 'menang', 'mental', 'ceme', '##n', 'banget']"
lihat umur kekuatiran kesehatannya game over debat disalahkan anies ganjar widt sb kau ,1,anies,"['lihat', 'umur', 'keku', '##ati', '##ran', 'kesehatannya', 'game', 'over', 'debat', 'disalahkan', 'anies', 'ganja', '##r', 'wid', '##t', 'sb', 'kau']"
bukti nyata anies jual janji manis kampanye anies pembohong anies retorika retorika anies korupsi kampanya dana korupsi anies pemecah belah demokrasi lu o js yn ,0,anies,"['bukti', 'nyata', 'anies', 'jual', 'janji', 'manis', 'kampanye', 'anies', 'pemb', '##ohong', 'anies', 'retor', '##ika', 'retor', '##ika', 'anies', 'korupsi', 'kamp', '##anya', 'dana', 'korupsi', 'anies', 'pemecah', 'belah', 'demokrasi', 'lu', 'o', 'js', 'y', '##n']"
kebal anies cinta silakan berubah pilihan mbak hati nurani bohong ,2,anies,"['kebal', 'anies', 'cinta', 'silakan', 'berubah', 'pilihan', 'mbak', 'hati', 'nurani', 'bohong']"
anies perkataan prabowo pajang lebar sia ,1,anies,"['anies', 'perkataan', 'prabowo', 'pajang', 'lebar', 'sia']"
fokusnya anies memiliki komitmen kuat menyelesaikan hukum negara semoga kehadiran didin ayah harun al rasyid perspektif berharga ,2,anies,"['fokus', '##nya', 'anies', 'memiliki', 'komitmen', 'kuat', 'menyelesaikan', 'hukum', 'negara', 'semoga', 'kehadiran', 'didi', '##n', 'ayah', 'harun', 'al', 'rasyid', 'perspektif', 'berharga']"
nih media resni sih tendesius kalimat anies menyalahkan angin pendengar ,0,anies,"['nih', 'media', 'res', '##ni', 'sih', 'tend', '##esi', '##us', 'kalimat', 'anies', 'menyalahkan', 'angin', 'pendengar']"
contoh nyata fenomena ordal menyebalkan indonesia butuh perubahan anies muhaimin amin n xr vcc sih ,1,anies,"['contoh', 'nyata', 'fenomena', 'ord', '##al', 'menyebalkan', 'indonesia', 'butuh', 'perubahan', 'anies', 'muh', '##aim', '##in', 'amin', 'n', 'x', '##r', 'v', '##cc', 'sih']"
bud seru obok obok anies ,2,anies,"['bud', 'seru', 'ob', '##ok', 'ob', '##ok', 'anies']"
diharapkan bajer roc ,1,anies,"['diharapkan', 'baj', '##er', 'roc']"
anies gemetar kurasa emosional ,0,anies,"['anies', 'gemetar', 'kurasa', 'emosional']"
kalo buzzer plongo menyerang anies radikal radikul intoleran fpi jual mayat suku ras anies elec terancam anies hebat oposisi jujur menteri dipecat diftnah rezim dimusuhi rezim dikuyo kuyo bertahan wowo ,0,anies,"['kalo', 'bu', '##zz', '##er', 'pl', '##ongo', 'menyerang', 'anies', 'radikal', 'radik', '##ul', 'into', '##ler', '##an', 'fpi', 'jual', 'mayat', 'suku', 'ras', 'anies', 'ele', '##c', 'terancam', 'anies', 'hebat', 'oposisi', 'jujur', 'menteri', 'dipecat', 'dif', '##tn', '##ah', 'rezim', 'dimus', '##uhi', 'rezim', 'diku', '##yo', 'kuy', '##o', 'bertahan', 'wow', '##o']"
coba junjungan menyerang pribadi keainies kayaknya gaka anies menyerang enak maunya merendahkan orang terima kalo dibales namanya diktator ,0,anies,"['coba', 'jun', '##jung', '##an', 'menyerang', 'pribadi', 'ke', '##aini', '##es', 'kayaknya', 'gak', '##a', 'anies', 'menyerang', 'enak', 'maunya', 'merendahkan', 'orang', 'terima', 'kalo', 'diba', '##les', 'namanya', 'dik', '##tator']"
benaran pendek ya ingatan orang indonesia berandai andai kejauhan iya sih kayak mikirnya cek wisatawan gerbang masuk cek warganya mengakui covid isolasi masker denial pemerintah anies dinyinyirin ,0,anies,"['benar', '##an', 'pendek', 'ya', 'ingatan', 'orang', 'indonesia', 'beranda', '##i', 'andai', 'kejauhan', 'iya', 'sih', 'kayak', 'mikir', '##nya', 'cek', 'wisatawan', 'gerbang', 'masuk', 'cek', 'warganya', 'mengakui', 'co', '##vid', 'isolasi', 'masker', 'deni', '##al', 'pemerintah', 'anies', 'diny', '##iny', '##irin']"
anies berjasa prabowo gerindra orang kader gerindra wagub dki dimasa kader gerindra wagub dki ,1,anies,"['anies', 'berjasa', 'prabowo', 'gerindra', 'orang', 'kader', 'gerindra', 'wagub', 'dki', 'dimasa', 'kader', 'gerindra', 'wagub', 'dki']"
ih ngeri bawa anies rohingya aneh ,0,anies,"['ih', 'ngeri', 'bawa', 'anies', 'rohingya', 'aneh']"
hk unyu nya ,1,anies,"['hk', 'uny', '##u', 'nya']"
tim transformasi pengawasan program mastiin janjinya dilaksanakan maksimal maksimal diperdebatkan makannya janji anies perdebatannya maksimal maksimal dikerjain ,0,anies,"['tim', 'transformasi', 'pengawasan', 'program', 'mas', '##ti', '##in', 'janjinya', 'dilaksanakan', 'maksimal', 'maksimal', 'diperdebatkan', 'makannya', 'janji', 'anies', 'perdebatan', '##nya', 'maksimal', 'maksimal', 'diker', '##jain']"
anies ganjar menampak akur serang debat hmm bentuk simbol akur merger putaran lolos putaran nampaknya musuh swing voters nya diperebutkan ,0,anies,"['anies', 'ganja', '##r', 'menamp', '##ak', 'akur', 'serang', 'debat', 'hmm', 'bentuk', 'simbol', 'akur', 'merger', 'putaran', 'lolos', 'putaran', 'nampaknya', 'musuh', 'swing', 'vote', '##rs', 'nya', 'diper', '##ebutkan']"
senyumi mas anies ,1,anies,"['senyum', '##i', 'mas', 'anies']"
menyangka an anies sasaran menghujam jantung bangga putra bangsa santun cerdas amp teruji dki menangseputaran ta ,2,anies,"['menyangka', 'an', 'anies', 'sasaran', 'menghuj', '##am', 'jantung', 'bangga', 'putra', 'bangsa', 'santun', 'cerdas', 'amp', 'teruji', 'dki', 'menang', '##sep', '##utaran', 'ta']"
debat analogi main bola ganjar umpan anies gol prabowo menyerang anies anies serang prabowo blunder gol anies menang telak ,0,anies,"['debat', 'analogi', 'main', 'bola', 'ganja', '##r', 'umpan', 'anies', 'gol', 'prabowo', 'menyerang', 'anies', 'anies', 'serang', 'prabowo', 'blu', '##nd', '##er', 'gol', 'anies', 'menang', 'telak']"
bumn bang jabatan kapabel pendukung rezim anies presiden bumn diisi profesional ,2,anies,"['bumn', 'bang', 'jabatan', 'kap', '##abel', 'pendukung', 'rezim', 'anies', 'presiden', 'bumn', 'diisi', 'profesional']"
orang jatim ya pilih anies ,1,anies,"['orang', 'jatim', 'ya', 'pilih', 'anies']"
kayak abu jamban ,1,anies,"['kayak', 'abu', 'jamb', '##an']"
wow nya singa dpr melempem pemerkosaan konstitusi paman usman melenggang sang ponakan maju cawapres ordal menyebalkan kalo anies mah ,2,anies,"['wow', 'nya', 'singa', 'dpr', 'melemp', '##em', 'pemerkosaan', 'konstitusi', 'paman', 'usman', 'mel', '##enggang', 'sang', 'pon', '##akan', 'maju', 'cawapres', 'ord', '##al', 'menyebalkan', 'kalo', 'anies', 'mah']"
anies kenal ketahui kemampuannya beliau ajukan cagub pilih calon pemimpin meninggalkan pendukungnya tahan oposisi wkwkwkwkwk ,0,anies,"['anies', 'kenal', 'ketahui', 'kemampuannya', 'beliau', 'ajukan', 'ca', '##gub', 'pilih', 'calon', 'pemimpin', 'meninggalkan', 'pendukungnya', 'tahan', 'oposisi', 'wkwkwk', '##w', '##kwk']"
swing voters mayoritas tau kualitasnya ya anies ,1,anies,"['swing', 'vote', '##rs', 'mayoritas', 'tau', 'kualitasnya', 'ya', 'anies']"
bicara realita bersyukur tinggal indonesia ras pendatang negara tingkat kedewasaan demokrasinya anies layak meragukan demokrasi indonesia realita ,2,anies,"['bicara', 'realita', 'bersyukur', 'tinggal', 'indonesia', 'ras', 'pendatang', 'negara', 'tingkat', 'kedewasaan', 'demokrasi', '##nya', 'anies', 'layak', 'meragukan', 'demokrasi', 'indonesia', 'realita']"
p b gue anies jabat menteri jabat kepala daerah dilengkapi wakilnya prabowo jabat menteri kepala daerah legislatif dilengkapi wakilnya ganjar jabat kepala daerah legislatif dilengkapi wakilnya ,1,anies,"['p', 'b', 'gue', 'anies', 'jab', '##at', 'menteri', 'jab', '##at', 'kepala', 'daerah', 'dilengkapi', 'wakilnya', 'prabowo', 'jab', '##at', 'menteri', 'kepala', 'daerah', 'legislatif', 'dilengkapi', 'wakilnya', 'ganja', '##r', 'jab', '##at', 'kepala', 'daerah', 'legislatif', 'dilengkapi', 'wakilnya']"
pernyataan anies menampar prabowo korban pendukungnya ,0,anies,"['pernyataan', 'anies', 'menamp', '##ar', 'prabowo', 'korban', 'pendukungnya']"
politikus nih tolol ya tertera pencalonan capres cawapres anies menepati janji menyelesaikan tugasnya gubernur which is maju capres ,0,anies,"['politikus', 'nih', 'tolol', 'ya', 'tertera', 'pencalonan', 'capres', 'cawapres', 'anies', 'menepati', 'janji', 'menyelesaikan', 'tugasnya', 'gubernur', 'which', 'is', 'maju', 'capres']"
alasan prabowo serang ganjar anies debat terungkap gegara zy v qd lu o ,0,anies,"['alasan', 'prabowo', 'serang', 'ganja', '##r', 'anies', 'debat', 'terungkap', 'geg', '##ara', 'z', '##y', 'v', 'q', '##d', 'lu', 'o']"
anies probowo ganjar indonesia forever penyebab polusi jakarta transportasi industri energi perumahan manufaktur pltu radius jakarta ,1,anies,"['anies', 'prob', '##owo', 'ganja', '##r', 'indonesia', 'fore', '##ver', 'penyebab', 'polusi', 'jakarta', 'transportasi', 'industri', 'energi', 'perumahan', 'manufaktur', 'pltu', 'radius', 'jakarta']"
membebaskan pbb rumah keluarga pejoang amp orang berjasa negara adabnya luhur budi pekerti anies mah diajari permainan kotor ordal contoh buruk bangsa ditegur keras bermain ,0,anies,"['membebaskan', 'pbb', 'rumah', 'keluarga', 'pej', '##oang', 'amp', 'orang', 'berjasa', 'negara', 'adab', '##nya', 'luhur', 'budi', 'pekerti', 'anies', 'mah', 'diajari', 'permainan', 'kotor', 'ord', '##al', 'contoh', 'buruk', 'bangsa', 'diteg', '##ur', 'keras', 'bermain']"
p b gue propaganda r ng anies pendidik terbawa capres tujuannya orang menyadari potensi belajar pintar ya anies manusia berusaha dengar pintar salahnya anies ya ya nck si ,2,anies,"['p', 'b', 'gue', 'propaganda', 'r', 'ng', 'anies', 'pendidik', 'terbawa', 'capres', 'tujuannya', 'orang', 'menyadari', 'potensi', 'belajar', 'pintar', 'ya', 'anies', 'manusia', 'berusaha', 'dengar', 'pintar', 'salahnya', 'anies', 'ya', 'ya', 'nc', '##k', 'si']"
anies mengkhianati prabowo komitmen menuntaskan amanatnya gubernur dki dukung prabowo pilpres ,0,anies,"['anies', 'mengkh', '##ianati', 'prabowo', 'komitmen', 'menuntaskan', 'amanat', '##nya', 'gubernur', 'dki', 'dukung', 'prabowo', 'pilpres']"
ungkit pilgub dki jakarta usung anies gerindra pks usung anies gerindra posisi wakil gubernur sandi uno berjasa deh ,2,anies,"['ung', '##kit', 'pilgub', 'dki', 'jakarta', 'usu', '##ng', 'anies', 'gerindra', 'pks', 'usu', '##ng', 'anies', 'gerindra', 'posisi', 'wakil', 'gubernur', 'sandi', 'uno', 'berjasa', 'deh']"
prabowo bilang membesarkan anies bilang mendukung anies anies bilang prabowo mencalonkan presiden maju capres muter kesana narasi isinya downgrade lawan politik capek hati busuk ,2,anies,"['prabowo', 'bilang', 'membesarkan', 'anies', 'bilang', 'mendukung', 'anies', 'anies', 'bilang', 'prabowo', 'mencalonkan', 'presiden', 'maju', 'capres', 'muter', 'kesana', 'narasi', 'isinya', 'down', '##grade', 'lawan', 'politik', 'capek', 'hati', 'busuk']"
gebrag mimbar santai anies ,2,anies,"['gebr', '##ag', 'mimbar', 'santai', 'anies']"
maaf sekian ratus penghargaan kesalahan namanya manusia selagi merugikan masyarakat bambu orang meninggal anies angkat tangan dipermasalahkan ,0,anies,"['maaf', 'sekian', 'ratus', 'penghargaan', 'kesalahan', 'namanya', 'manusia', 'selagi', 'merugikan', 'masyarakat', 'bambu', 'orang', 'meninggal', 'anies', 'angkat', 'tangan', 'diperm', '##asal', '##ahkan']"
coba melek wakakak capek banget narasi habis playing victim membela coba drop bukti anies kayak ,0,anies,"['coba', 'melek', 'wak', '##akak', 'capek', 'banget', 'narasi', 'habis', 'play', '##ing', 'vic', '##tim', 'membela', 'coba', 'drop', 'bukti', 'anies', 'kayak']"
dikasih rasisme anies gubernur kebalikan anies merangkul imb gereja cristmas carol kuil hindu dll kebencian hasil nyata dianggap khayalan smntara menghayal dianggap prestasi kesayangan ,0,anies,"['dikasih', 'rasi', '##sm', '##e', 'anies', 'gubernur', 'kebalikan', 'anies', 'merangkul', 'imb', 'gereja', 'cris', '##tm', '##as', 'carol', 'kuil', 'hindu', 'dll', 'kebencian', 'hasil', 'nyata', 'dianggap', 'khayalan', 'sm', '##nt', '##ara', 'mengh', '##ayal', 'dianggap', 'prestasi', 'kesayangan']"
maksudnya pendukung prabowo pendukung anies ,2,anies,"['maksudnya', 'pendukung', 'prabowo', 'pendukung', 'anies']"
ujang menonton debatnya sih tau anies prabowo ,1,anies,"['uj', '##ang', 'menonton', 'debat', '##nya', 'sih', 'tau', 'anies', 'prabowo']"
komitmen anies menang taunya kalah nyebrang berkoalisi penguasa prabowo menghianati komitmen anies konsisten orang beroposisi pemerintah beliau ditinggal dihujat difitnah pndukung jkw beliau tegar ,2,anies,"['komitmen', 'anies', 'menang', 'taun', '##ya', 'kalah', 'ny', '##ebra', '##ng', 'berk', '##oal', '##isi', 'penguasa', 'prabowo', 'mengh', '##ianati', 'komitmen', 'anies', 'konsisten', 'orang', 'ber', '##opos', '##isi', 'pemerintah', 'beliau', 'ditinggal', 'dih', '##uja', '##t', 'dif', '##itnah', 'pn', '##duk', '##ung', 'jk', '##w', 'beliau', 'tegar']"
hadapan tuhan memebedakan adalh amal perbuatan hadapan hukum negara anies adalh sosok bersahaja prabowo anak hormat mencium tanganya ,2,anies,"['hadapan', 'tuhan', 'meme', '##bed', '##akan', 'ada', '##lh', 'amal', 'perbuatan', 'hadapan', 'hukum', 'negara', 'anies', 'ada', '##lh', 'sosok', 'bersah', '##aja', 'prabowo', 'anak', 'hormat', 'mencium', 'tangan', '##ya']"
ya allah keren banget presiden gue angle pengambilan gambarnya keren top banget wakanda no more indonesia forever wowo no more anies forever ,2,anies,"['ya', 'allah', 'keren', 'banget', 'presiden', 'gue', 'ang', '##le', 'pengambilan', 'gambarnya', 'keren', 'top', 'banget', 'wak', '##anda', 'no', 'more', 'indonesia', 'fore', '##ver', 'wow', '##o', 'no', 'more', 'anies', 'fore', '##ver']"
anies imin jual gimmick laku gimmick ,2,anies,"['anies', 'im', '##in', 'jual', 'gim', '##mic', '##k', 'laku', 'gim', '##mic', '##k']"
seru menonton debat capres trending topik twitter orang kali anies baswedan trending topik ,2,anies,"['seru', 'menonton', 'debat', 'capres', 'trending', 'topik', 'twitter', 'orang', 'kali', 'anies', 'baswedan', 'trending', 'topik']"
benarkan pakai anies oposisi ,0,anies,"['benar', '##kan', 'pakai', 'anies', 'oposisi']"
anies suruh jual obat pinggir jalan bekali toa ular sawah ,1,anies,"['anies', 'suruh', 'jual', 'obat', 'pinggir', 'jalan', 'bekal', '##i', 'to', '##a', 'ular', 'sawah']"
kaget aneh a nolak menegasken eksistensi rombongannya pencapaian bangsa amp rencana jaga prjuangken anus anies gen deh bikin nasdrun klepek kebuli heran londo merem melek jilati anus ,0,anies,"['kaget', 'aneh', 'a', 'nol', '##ak', 'meneg', '##ask', '##en', 'eksistensi', 'rombongan', '##nya', 'pencapaian', 'bangsa', 'amp', 'rencana', 'jaga', 'pr', '##juan', '##g', '##ken', 'anus', 'anies', 'gen', 'deh', 'bikin', 'nas', '##dr', '##un', 'klep', '##ek', 'keb', '##uli', 'heran', 'lond', '##o', 'merem', 'melek', 'jilat', '##i', 'anus']"
gibran pasang muka dilipat lihat anies debat debat pasang muka nyinyir bacin lihat mukanya muka nya super letrek lecek demek awokawok ,1,anies,"['gib', '##ran', 'pasang', 'muka', 'dilipat', 'lihat', 'anies', 'debat', 'debat', 'pasang', 'muka', 'nyi', '##ny', '##ir', 'bac', '##in', 'lihat', 'mukanya', 'muka', 'nya', 'super', 'let', '##rek', 'lec', '##ek', 'dem', '##ek', 'aw', '##oka', '##wo', '##k']"
suara gelora jeblok lu serang anies smkn jeblok ,0,anies,"['suara', 'gelora', 'jeb', '##lok', 'lu', 'serang', 'anies', 'smkn', 'jeb', '##lok']"
belajarlah konten konteks substansial sentimen negatif berdebat ok ok ganjar gaya humble nya prabowo kelucuannya santai anies kritik masukkan difilter dsb ,2,anies,"['belajarlah', 'konten', 'konteks', 'substansial', 'sentimen', 'negatif', 'berdebat', 'ok', 'ok', 'ganja', '##r', 'gaya', 'hum', '##ble', 'nya', 'prabowo', 'kel', '##ucu', '##annya', 'santai', 'anies', 'kritik', 'masukkan', 'dif', '##il', '##ter', 'dsb']"
propaganda terbukti musuh kualisi prabowo ganjar mahfud anies muhaimin kuat personalnya mimpi menang putaran urut buncit surpay kalo pilpres jujur curang amin menang ,2,anies,"['propaganda', 'terbukti', 'musuh', 'kual', '##isi', 'prabowo', 'ganja', '##r', 'mahfud', 'anies', 'muh', '##aim', '##in', 'kuat', 'personal', '##nya', 'mimpi', 'menang', 'putaran', 'urut', 'buncit', 'sur', '##pay', 'kalo', 'pilpres', 'jujur', 'curang', 'amin', 'menang']"
bui melirik anies ,1,anies,"['bu', '##i', 'melirik', 'anies']"
pemimpin jujur amanah anies ,2,anies,"['pemimpin', 'jujur', 'amanah', 'anies']"
hubungannya anies ,1,anies,"['hubungannya', 'anies']"
anies baswedan aturan ditekuk kepentingan penguasa i e h ya jw ,2,anies,"['anies', 'baswedan', 'aturan', 'ditek', '##uk', 'kepentingan', 'penguasa', 'i', 'e', 'h', 'ya', 'jw']"
bicara blkg mending tim pemenangan prabowo debat terbuka anies hayuk jadikan mengomong blkg data mending main data dpan orangnya langsung ,1,anies,"['bicara', 'bl', '##kg', 'mending', 'tim', 'pemenangan', 'prabowo', 'debat', 'terbuka', 'anies', 'hay', '##uk', 'jadikan', 'meng', '##omong', 'bl', '##kg', 'data', 'mending', 'main', 'data', 'dp', '##an', 'orangnya', 'langsung']"
kesimpulan calon beban pelanggaran ham paslon no anies mengusai panggung merdeka beban menang seputaran i nih si o wh ,0,anies,"['kesimpulan', 'calon', 'beban', 'pelanggaran', 'ham', 'paslon', 'no', 'anies', 'mengus', '##ai', 'panggung', 'merdeka', 'beban', 'menang', 'seputar', '##an', 'i', 'nih', 'si', 'o', 'wh']"
nih kacang lupa kulitnya gajah pelupuk mata semut seberang lautan mas anis mas anis bang anies menepuk air dulang pakar tgupp ordal zk oj ,1,anies,"['nih', 'kacang', 'lupa', 'kulitnya', 'gajah', 'pel', '##upuk', 'mata', 'semut', 'seberang', 'lautan', 'mas', 'anis', 'mas', 'anis', 'bang', 'anies', 'menep', '##uk', 'air', 'dul', '##ang', 'pakar', 'tg', '##up', '##p', 'ord', '##al', 'z', '##k', 'o', '##j']"
basis terkuras jokowi ganjar intens tendensius menyerang prabowo prabowo hancur ganjar berharap limpahan elektoral prabowo menyerang anies basis masanya lari anies analisa psikologi ,0,anies,"['basis', 'terku', '##ras', 'jokowi', 'ganja', '##r', 'intens', 'tend', '##ensi', '##us', 'menyerang', 'prabowo', 'prabowo', 'hancur', 'ganja', '##r', 'berharap', 'limpa', '##han', 'ele', '##kt', '##oral', 'prabowo', 'menyerang', 'anies', 'basis', 'masanya', 'lari', 'anies', 'analisa', 'psikologi']"
kalo ya orangnya langsung poinku anies bersuara orang melupakan membicarakannya keluarga korban membantu menyuarakan keadilan kunjung ,2,anies,"['kalo', 'ya', 'orangnya', 'langsung', 'poin', '##ku', 'anies', 'bersuara', 'orang', 'melupakan', 'membicarakan', '##nya', 'keluarga', 'korban', 'membantu', 'menyuarakan', 'keadilan', 'kunjung']"
debat prediksi putaran anies prabowo acara debat perlahan ganjar geser prabowo kayak nya ,1,anies,"['debat', 'prediksi', 'putaran', 'anies', 'prabowo', 'acara', 'debat', 'perlahan', 'ganja', '##r', 'geser', 'prabowo', 'kayak', 'nya']"
berkhianat anies menyelesaikan tugas janji politiknya dki clear beliau rakyat pembenahan demokrasi tergerus rezim mempermainkan hukum amin menang perubahan ,2,anies,"['berkh', '##ianat', 'anies', 'menyelesaikan', 'tugas', 'janji', 'politiknya', 'dki', 'clear', 'beliau', 'rakyat', 'pembenahan', 'demokrasi', 'terg', '##erus', 'rezim', 'mempermainkan', 'hukum', 'amin', 'menang', 'perubahan']"
parsoc tau pilpres saking susahnya mencari blundernya anies mencari video mencegah kenaikan suara anies debat ,1,anies,"['par', '##so', '##c', 'tau', 'pilpres', 'saking', 'susahnya', 'mencari', 'blu', '##nd', '##ernya', 'anies', 'mencari', 'video', 'mencegah', 'kenaikan', 'suara', 'anies', 'debat']"
prabowo gibran ngamuk joget gemoy riang gembira pura pura moh jafar al moenawir jawa timur debat semalam membuka tabir watak asli pasangan calon calon presiden calon wakil presiden capres cawapres anies pandai retorika bermain kg lv ,2,anies,"['prabowo', 'gib', '##ran', 'nga', '##mu', '##k', 'jog', '##et', 'gem', '##oy', 'riang', 'gembira', 'pura', 'pura', 'moh', 'jaf', '##ar', 'al', 'mo', '##ena', '##wir', 'jawa', 'timur', 'debat', 'semalam', 'membuka', 'tabir', 'watak', 'asli', 'pasangan', 'calon', 'calon', 'presiden', 'calon', 'wakil', 'presiden', 'capres', 'cawapres', 'anies', 'pandai', 'retor', '##ika', 'bermain', 'kg', 'lv']"
anies terbendung ,1,anies,"['anies', 'terb', '##endung']"
husnuzhon allah anies allah qodarulloh presiden terbaik allah nkri liku sekenario allah menghentikannya anies diloloskan nya berlayar nyapres ,2,anies,"['hus', '##nu', '##zh', '##on', 'allah', 'anies', 'allah', 'qod', '##aru', '##ll', '##oh', 'presiden', 'terbaik', 'allah', 'nkri', 'liku', 'seken', '##ario', 'allah', 'menghentikan', '##nya', 'anies', 'dil', '##olo', '##sk', '##an', 'nya', 'berlayar', 'nya', '##pres']"
oposisi prabowo mengomong acara mata najwa anies mengutip coba menonton ,0,anies,"['oposisi', 'prabowo', 'meng', '##omong', 'acara', 'mata', 'naj', '##wa', 'anies', 'mengutip', 'coba', 'menonton']"
propaganda akal sehat silakan pilih anies ku ,2,anies,"['propaganda', 'akal', 'sehat', 'silakan', 'pilih', 'anies', 'ku']"
anies terbaik ,2,anies,"['anies', 'terbaik']"
kalo buzzer plongo menyerang anies radikal radikul intoleran fpi jual mayat suku ras anies elec terancam anies hebat oposisi jujur menteri dipecat diftnah rezim dimusuhi rezim dikuyo kuyo bertahan wowo ,0,anies,"['kalo', 'bu', '##zz', '##er', 'pl', '##ongo', 'menyerang', 'anies', 'radikal', 'radik', '##ul', 'into', '##ler', '##an', 'fpi', 'jual', 'mayat', 'suku', 'ras', 'anies', 'ele', '##c', 'terancam', 'anies', 'hebat', 'oposisi', 'jujur', 'menteri', 'dipecat', 'dif', '##tn', '##ah', 'rezim', 'dimus', '##uhi', 'rezim', 'diku', '##yo', 'kuy', '##o', 'bertahan', 'wow', '##o']"
yaudah memilih bro prabowo orang ngusung anies gubernur langsung prabowo diusungnya menang memilih didukung sandiaga uno menang pilgub ,2,anies,"['yaudah', 'memilih', 'bro', 'prabowo', 'orang', 'ng', '##usun', '##g', 'anies', 'gubernur', 'langsung', 'prabowo', 'diusung', '##nya', 'menang', 'memilih', 'didukung', 'sandiaga', 'uno', 'menang', 'pilgub']"
anies menggurui prabowo blunder ganjar realistis pilih ganjar mahfud bersih bermasalah sat set tas tes b baqz ,2,anies,"['anies', 'mengg', '##uru', '##i', 'prabowo', 'blu', '##nd', '##er', 'ganja', '##r', 'realistis', 'pilih', 'ganja', '##r', 'mahfud', 'bersih', 'bermasalah', 'sat', 'set', 'tas', 'tes', 'b', 'ba', '##q', '##z']"
retha what the f anies pks lihat janji kemarin konservatif negara this shit ,0,anies,"['ret', '##ha', 'what', 'the', 'f', 'anies', 'pks', 'lihat', 'janji', 'kemarin', 'konservatif', 'negara', 'this', 'shi', '##t']"
propaganda debat nilai anies wowo ganjar biarka masyarakat menilai ,2,anies,"['propaganda', 'debat', 'nilai', 'anies', 'wow', '##o', 'ganja', '##r', 'biar', '##ka', 'masyarakat', 'menilai']"
sabar bentar anies presiden bantuan pengacara geratis namanya online paris insyaallah ,2,anies,"['sabar', 'bentar', 'anies', 'presiden', 'bantuan', 'pengacara', 'ger', '##atis', 'namanya', 'online', 'paris', 'insyaallah']"
nope lawan sepadan anies debat berisi ya mahfud md kalo setuju ,2,anies,"['nop', '##e', 'lawan', 'sepadan', 'anies', 'debat', 'berisi', 'ya', 'mahfud', 'md', 'kalo', 'setuju']"
anies menghasilkan t nanem singkong kayu hutan digunduli wowo ,1,anies,"['anies', 'menghasilkan', 't', 'nan', '##em', 'singkong', 'kayu', 'hutan', 'digun', '##dul', '##i', 'wow', '##o']"
amunisi angin air kosong anies santai berisi masuk akal pas kali poinnya dwarr menyambung indak ger dievaluasi timnya ,2,anies,"['amunisi', 'angin', 'air', 'kosong', 'anies', 'santai', 'berisi', 'masuk', 'akal', 'pas', 'kali', 'poin', '##nya', 'dw', '##arr', 'menyambung', 'ind', '##ak', 'ger', 'dievaluasi', 'timnya']"
kasihan gue anies diputer mulu faktanya ,0,anies,"['kasihan', 'gue', 'anies', 'dip', '##uter', 'mulu', 'faktanya']"
pas oposisi indonesia lewati soft landing tunjukkan tanggung jual asetnya jerman intervensi kantor fpi gue simpan bukti jurkamnya anies masjid ,1,anies,"['pas', 'oposisi', 'indonesia', 'lewati', 'soft', 'landing', 'tunjukkan', 'tanggung', 'jual', 'aset', '##nya', 'jerman', 'intervensi', 'kantor', 'fpi', 'gue', 'simpan', 'bukti', 'jur', '##kam', '##nya', 'anies', 'masjid']"
terima akui kelihaian amp kelebihan anies baswedan merangkai cerita men dongeng nama nya dongeng menarik isi nya meragukan perubahan ngacak ,2,anies,"['terima', 'akui', 'keli', '##hai', '##an', 'amp', 'kelebihan', 'anies', 'baswedan', 'merangkai', 'cerita', 'men', 'dongeng', 'nama', 'nya', 'dongeng', 'menarik', 'isi', 'nya', 'meragukan', 'perubahan', 'nga', '##cak']"
berkhianat anies mnyelesaikan pekerjaan full periode dki beliau nypres gub dki diusung gerindra tlh selesai apany berkhianat ,1,anies,"['berkh', '##ianat', 'anies', 'mn', '##ye', '##les', '##aikan', 'pekerjaan', 'full', 'periode', 'dki', 'beliau', 'ny', '##pres', 'gub', 'dki', 'diusung', 'gerindra', 'tl', '##h', 'selesai', 'apa', '##ny', 'berkh', '##ianat']"
bu mati mati mah mati mah nyapres mati masuk tuh awokwokwokwok ,0,anies,"['bu', 'mati', 'mati', 'mah', 'mati', 'mah', 'nya', '##pres', 'mati', 'masuk', 'tuh', 'aw', '##ok', '##wo', '##kw', '##ok', '##wo', '##k']"
jujur debat kemarin brutal debat periode pilpres jokowi periode hati hati dikasih ham kemarin anies menyerang detik ganjarpun diam yerang keras ,0,anies,"['jujur', 'debat', 'kemarin', 'brutal', 'debat', 'periode', 'pilpres', 'jokowi', 'periode', 'hati', 'hati', 'dikasih', 'ham', 'kemarin', 'anies', 'menyerang', 'detik', 'ganja', '##rp', '##un', 'diam', 'yer', '##ang', 'keras']"
abdullah anies baswedan bin ubayb ,1,anies,"['abdullah', 'anies', 'baswedan', 'bin', 'ub', '##ay', '##b']"
